"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"2013","Colorado","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.415"
"2013","Colorado","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","38.300"
"2013","Colorado","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.200"
"2013","Colorado","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.850"
"2013","Colorado","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","167059169.000"
"2013","Colorado","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.840"
"2013","Connecticut","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","8.214"
"2013","Connecticut","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","31.400"
"2013","Connecticut","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","53.700"
"2013","Connecticut","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.410"
"2013","Connecticut","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","382919319.000"
"2013","Connecticut","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","3.400"
"2013","Delaware","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.800"
"2013","Delaware","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","77.100"
"2013","Delaware","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","45.000"
"2013","Delaware","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.610"
"2013","Delaware","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","112948060.000"
"2013","Delaware","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.600"
"2013","District of Columbia","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.390"
"2013","District of Columbia","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","18.600"
"2013","District of Columbia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","52.400"
"2013","District of Columbia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.870"
"2013","District of Columbia","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","34304210.000"
"2013","District of Columbia","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.860"
"2013","Florida","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.572"
"2013","Florida","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","44.300"
"2013","Florida","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","42.200"
"2013","Florida","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.349"
"2013","Florida","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1146480000.000"
"2013","Florida","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.339"
"2013","Georgia","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.563"
"2013","Georgia","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","49.900"
"2013","Georgia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","30.200"
"2013","Georgia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.380"
"2013","Georgia","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","182965037.000"
"2013","Georgia","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.370"
"2013","Hawaii","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","8.702"
"2013","Hawaii","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","27.000"
"2013","Hawaii","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","48.400"
"2013","Hawaii","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.210"
"2013","Hawaii","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","120095909.000"
"2013","Hawaii","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","3.200"
"2013","Idaho","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.861"
"2013","Idaho","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","43.100"
"2013","Idaho","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","32.500"
"2013","Idaho","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.580"
"2013","Idaho","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","39205650.000"
"2013","Idaho","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.570"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.051"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","31.700"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","42.400"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","808255800.000"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.980"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.257"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","66.900"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","38.100"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.005"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","434473203.000"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2013","Iowa","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.748"
"2013","Iowa","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","48.500"
"2013","Iowa","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","41.200"
"2013","Iowa","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.370"
"2013","Iowa","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","202980954.000"
"2013","Iowa","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.360"
"2013","Kansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.140"
"2013","Kansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","41.000"
"2013","Kansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","35.000"
"2013","Kansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.800"
"2013","Kansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","93306900.000"
"2013","Kansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.790"
"2013","Kentucky","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.759"
"2013","Kentucky","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","93.500"
"2013","Kentucky","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.800"
"2013","Kentucky","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.610"
"2013","Kentucky","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","245793222.000"
"2013","Kentucky","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.600"
"2013","Louisiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.627"
"2013","Louisiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","73.300"
"2013","Louisiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","29.600"
"2013","Louisiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.370"
"2013","Louisiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","121234140.000"
"2013","Louisiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.360"
"2013","Maine","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.452"
"2013","Maine","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","48.500"
"2013","Maine","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","46.700"
"2013","Maine","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.010"
"2013","Maine","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","128879094.000"
"2013","Maine","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.000"
"2013","Maryland","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.383"
"2013","Maryland","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","32.600"
"2013","Maryland","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","47.200"
"2013","Maryland","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.010"
"2013","Maryland","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","382443200.000"
"2013","Maryland","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.000"
"2013","Massachusetts","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","8.683"
"2013","Massachusetts","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","32.200"
"2013","Massachusetts","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","52.100"
"2013","Massachusetts","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.520"
"2013","Massachusetts","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","536736894.000"
"2013","Massachusetts","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.510"
"2013","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.562"
"2013","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","45.400"
"2013","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","45.900"
"2013","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.010"
"2013","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","896272083.000"
"2013","Michigan","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.000"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.616"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","43.100"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","56.900"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.333"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","372223925.000"
"2013","Minnesota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.600"
"2013","Mississippi","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.875"
"2013","Mississippi","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","63.900"
"2013","Mississippi","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.700"
"2013","Mississippi","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.690"
"2013","Mississippi","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","129738515.000"
"2013","Mississippi","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.680"
"2013","Missouri","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.387"
"2013","Missouri","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","87.400"
"2013","Missouri","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.900"
"2013","Missouri","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.180"
"2013","Missouri","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","89523695.000"
"2013","Missouri","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.170"
"2013","Montana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.155"
"2013","Montana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","44.300"
"2013","Montana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","44.000"
"2013","Montana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.710"
"2013","Montana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","75664883.000"
"2013","Montana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.700"
"2013","Nebraska","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.270"
"2013","Nebraska","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","51.200"
"2013","Nebraska","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","31.300"
"2013","Nebraska","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.650"
"2013","Nebraska","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","60778560.000"
"2013","Nebraska","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.640"
"2013","Nevada","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.287"
"2013","Nevada","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","43.200"
"2013","Nevada","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.200"
"2013","Nevada","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.810"
"2013","Nevada","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","95794651.000"
"2013","Nevada","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.800"
"2013","New Hampshire","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.009"
"2013","New Hampshire","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","89.600"
"2013","New Hampshire","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","46.400"
"2013","New Hampshire","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.790"
"2013","New Hampshire","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","198896040.000"
"2013","New Hampshire","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.680"
"2013","New Jersey","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.370"
"2013","New Jersey","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","30.600"
"2013","New Jersey","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","50.300"
"2013","New Jersey","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.710"
"2013","New Jersey","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","733079700.000"
"2013","New Jersey","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.700"
"2013","New Mexico","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.168"
"2013","New Mexico","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","26.400"
"2013","New Mexico","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","43.300"
"2013","New Mexico","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.670"
"2013","New Mexico","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","91475753.000"
"2013","New Mexico","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.660"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","10.030"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","16.600"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","53.400"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","5.360"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1425269207.000"
"2013","New York","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","4.350"
"2013","North Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.627"
"2013","North Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","57.500"
"2013","North Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","31.600"
"2013","North Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.460"
"2013","North Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","252227647.000"
"2013","North Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.450"
"2013","North Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.552"
"2013","North Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","72.500"
"2013","North Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","31.900"
"2013","North Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.450"
"2013","North Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","22359059.000"
"2013","North Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.440"
"2013","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.631"
"2013","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","54.600"
"2013","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","40.100"
"2013","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.260"
"2013","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","789832969.000"
"2013","Ohio","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.250"
"2013","Oklahoma","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.533"
"2013","Oklahoma","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","67.200"
"2013","Oklahoma","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","36.900"
"2013","Oklahoma","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.040"
"2013","Oklahoma","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","230708318.000"
"2013","Oklahoma","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.030"
"2013","Oregon","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.683"
"2013","Oregon","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","43.300"
"2013","Oregon","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","38.500"
"2013","Oregon","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.190"
"2013","Oregon","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","199223787.000"
"2013","Oregon","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.180"
